Texte,Emotion
C’est totalement injuste !,Colère
Je suis au bord de l’explosion !,Colère
Ça me met hors de moi !,Colère
J’en ai ras-le-bol !,Colère
C’est insupportable !,Colère
Tu me rends fou/folle !,Colère
Ça suffit maintenant !,Colère
Tu dépasses les bornes !,Colère
Je suis excédé(e) !,Colère
Pourquoi faut-il toujours que ça m’arrive ?!,Colère
Je ne tolérerai pas ça !,Colère
Tu me mets dans une colère noire !,Colère
Je perds patience !,Colère
Arrête tes bêtises !,Colère
Je n’en peux plus !,Colère
Assez de tes mensonges !,Colère
Tu m’agaces au plus haut point !,Colère
Je suis furieux/furieuse !,Colère
Je brûle de rage !,Colère
C’est du grand n’importe quoi !,Colère
Je suis scandalisé !,Colère
Je n’en peux plus de cette situation.,Colère
Tu dépasses les bornes cette fois !,Colère
Ce comportement est inadmissible.,Colère
Pourquoi ça tombe toujours sur moi ?!,Colère
Arrête de me dire ce genre de choses !,Colère
Je vais exploser si ça continue !,Colère
C’est du grand n’importe quoi !,Colère
Je ne supporte plus ces critiques.,Colère
Tout ça me met hors de moi.,Colère
Il exagère vraiment cette fois.,Colère
J’en ai assez qu’on me traite ainsi.,Colère
C’est toujours moi qu’on accuse.,Colère
Ils me poussent à bout.,Colère
Je vais finir par craquer.,Colère
C’est insupportable cette injustice.,Colère
Je ne tolérerai pas ça.,Colère
On se moque de moi ou quoi ?,Colère
Je suis furieuse contre toi.,Colère
Ce genre de comportement me met en rage.,Colère
"Encore une fois, on me manque de respect.",Colère
Tu ne comprends jamais rien !,Colère
C’est inadmissible de faire ça.,Colère
J’ai envie de crier tellement je suis en colère.,Colère
Il joue avec mes nerfs.,Colère
Pourquoi tu fais toujours ça ?,Colère
Je suis à bout de patience.,Colère
Il me rend folle celui-là.,Colère
On me prend pour une idiote.,Colère
"Assez, je n’en peux plus !",Colère
Tu vas voir ce que tu vas voir.,Colère
Je déteste cette situation.,Colère
Il abuse vraiment de ma gentillesse.,Colère
Je ne te pardonnerai jamais.,Colère
J’en ai marre qu’on me piétine.,Colère
"C’est trop, je claque la porte.",Colère
Tu vas regretter tes paroles.,Colère
Je n’arrive pas à me calmer.,Colère
Je suis en rage totale.,Colère
Ça suffit maintenant !,Colère
Tu n’as aucun respect pour moi.,Colère
On dirait que tu fais exprès.,Colère
Je suis excédée par ton attitude.,Colère
Je suis à bout.,Colère
Je suis sur le point de hurler.,Colère
Il m’a fait perdre mon sang-froid.,Colère
Tu n’es qu’un égoïste.,Colère
Tu dépasses toutes les limites.,Colère
Je n’ai jamais été aussi en colère.,Colère
C’est le comble de l’irrespect.,Colère
Tu me pousses à bout exprès ou quoi ?,Colère
J’en ai ras-le-bol !,Colère
Tu crois que c’est normal de faire ça ?,Colère
C’est toujours pareil avec toi.,Colère
Je suis épuisé de devoir toujours me justifier.,Colère
Tu m’as vraiment blessé cette fois.,Colère
C’est insensé ce que tu viens de dire.,Colère
Je suis à bout de nerfs.,Colère
Je ne peux plus te faire confiance.,Colère
C’est de la pure provocation !,Colère
Tu m’as mis dans une situation intenable.,Colère
Je me sens tellement seul aujourd’hui.,Tristesse
Mon cœur est lourd de chagrin.,Tristesse
Je n’ai plus la force de continuer.,Tristesse
Rien ne semble aller correctement.,Tristesse
Je me sens perdu dans ma vie.,
Je me sens complètement brisé,Tristesse
Mon cœur est lourd de chagrin,Tristesse
Les larmes ne cessent de couler,Tristesse
Je n’ai plus la force de sourire,Tristesse
Tout me paraît si sombre aujourd’hui,Tristesse
Je me sens profondément vide,Tristesse
Chaque jour est une lutte,Tristesse
La tristesse m’envahit sans fin,Tristesse
Je ne trouve plus de joie,Tristesse
Mon moral est au plus bas,Tristesse
Je pleure en silence,Tristesse
Rien ne parvient à me consoler,Tristesse
Je me sens abandonné,Tristesse
Le vide me ronge de l’intérieur,Tristesse
